accession,taxid,superkingdom,phylum,class,order,family,genus,species
PV391148.1,9606,NA,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
PV256478.1,3228958,NA,Chordata,Mammalia,Carnivora,Mustelidae,Aonyx,Aonyx congicus
PV254232.1,46260,NA,Chordata,Actinopteri,NA,Moronidae,Morone,Morone americana
PV387265.1,9906,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos javanicus
PV231060.1,10089,NA,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus caroli
PV231059.1,10090,NA,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
PV230503.1,101699,NA,Chordata,NA,Testudines,Testudinidae,Testudo,Testudo horsfieldii
PQ390636.1,80466,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Mesalina,Mesalina guttulata
PQ390711.1,1561959,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias intermedia
PQ390710.1,2202318,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias lineolata
PQ390707.1,383862,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias multiocellata
PQ390705.1,627219,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias persica
PQ390704.1,122285,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias velox
PQ390703.1,3146480,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias regeli
PQ390702.1,1819979,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias stummeri
PP484682.1,260524,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus fulvus
OP588115.1,8022,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
PP471984.1,3132147,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Aulopareia,Aulopareia sp.
PP471983.1,3132145,NA,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus hindsii
PP471982.1,3112289,NA,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus sp.
PQ246113.1,36240,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela sibirica
PQ246112.1,9668,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius
PQ246111.1,36239,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nivalis
PQ246108.1,36723,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela erminea
PQ571332.1,384072,NA,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus
PV256475.1,59453,NA,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros diadema
PV369186.1,340988,NA,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys cataractae
PV369185.1,33539,NA,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Luxilus,Luxilus cornutus
PV369184.1,67556,NA,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys atratulus
PV370339.1,3230586,NA,Chordata,Actinopteri,Blenniiformes,Blenniidae,Enchelyurus,Enchelyurus brunneolus
PV370338.1,2898570,NA,Chordata,Actinopteri,Tetraodontiformes,Triacanthodidae,Hollardia,Hollardia hollardi
PV370337.1,630658,NA,Chordata,Actinopteri,Gadiformes,Macrouridae,Coelorinchus,Coelorinchus caribbaeus
PV370336.1,372796,NA,Chordata,Actinopteri,Scombriformes,Gempylidae,Diplospinus,Diplospinus multistriatus
PV370333.1,274698,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Pontinus,Pontinus longispinis
PV370332.1,1266880,NA,Chordata,Actinopteri,Perciformes,Triglidae,Prionotus,Prionotus carolinus
PV370330.1,195611,NA,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Etropus,Etropus microstomus
PV370329.1,184440,NA,Chordata,Actinopteri,Perciformes,Serranidae,Centropristis,Centropristis striata
PV370328.1,1181892,NA,Chordata,Actinopteri,Anguilliformes,Congridae,Conger,Conger triporiceps
PV370327.1,3065009,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Barbulifer,Barbulifer antennatus
PV370326.1,3065010,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus cingulatus
PV370325.1,203294,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Elacatinus,Elacatinus horsti
PV370324.1,1182256,NA,Chordata,Actinopteri,Ophidiiformes,Bythitidae,Calamopteryx,Calamopteryx goslinei
PV370323.1,317240,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Elacatinus,Elacatinus randalli
PV370322.1,2100593,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Monomitopus,Monomitopus agassizii
PV369935.1,61384,NA,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus
KR018384.1,83761,NA,Chordata,Mammalia,Rodentia,Muridae,Sundamys,Sundamys muelleri
KR018383.1,472764,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus verecundus
KR018382.1,472763,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus steini
KR018380.1,946981,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus giluwensis
KR018379.1,332665,NA,Chordata,Mammalia,Rodentia,Muridae,Maxomys,Maxomys bartelsii
KR018378.1,106283,NA,Chordata,Mammalia,Rodentia,Muridae,Diplothrix,Diplothrix legata
KR018377.1,491872,NA,Chordata,Mammalia,Rodentia,Muridae,Chiromyscus,Chiromyscus chiropus
KR018376.1,595394,NA,Chordata,Mammalia,Rodentia,Muridae,Berylmys,Berylmys berdmorei
KR018375.1,456472,NA,Chordata,Mammalia,Rodentia,Muridae,Bandicota,Bandicota indica
PV365185.1,3411663,NA,Chordata,Actinopteri,Cypriniformes,Cobitidae,Cobitis,Cobitis tigrina
PV365184.1,1254959,NA,Chordata,Actinopteri,Cypriniformes,Cobitidae,Cobitis,Cobitis crassicauda
ON416885.1,408872,NA,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus hanglu
PV357919.1,300227,NA,Chordata,Actinopteri,Tetraodontiformes,Triodontidae,Triodon,Triodon macropterus
PV357918.1,202727,NA,Chordata,Actinopteri,Perciformes,Sebastidae,Helicolenus,Helicolenus dactylopterus
PV357917.1,862788,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides parvus
PV357916.1,499856,NA,Chordata,Actinopteri,Scombriformes,Gempylidae,Neoepinnula,Neoepinnula americana
PV357915.1,2996726,NA,Chordata,Actinopteri,Scombriformes,Ariommatidae,Ariomma,Ariomma regulus
PV357914.1,183653,NA,Chordata,Actinopteri,Scombriformes,Stromateidae,Peprilus,Peprilus triacanthus
PV357912.1,160726,NA,Chordata,Actinopteri,Perciformes,Serranidae,Hyporthodus,Hyporthodus niveatus
PV357911.1,274732,NA,Chordata,Actinopteri,Perciformes,Peristediidae,Peristedion,Peristedion gracile
