idx,header,deltaG,amplicon_length,gamma,est_alpha,accession,taxid,superkingdom,phylum,class,order,family,genus,species
1,"PV391148.1 Homo sapiens haplogroup M65a mitochondrion, complete genome",37.38877471021995,171,37.38877471021995,-0.11216632413065984,PV391148.1,9606,NA,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
2,"PV256478.1 Aonyx congicus voucher MNHN-ZM-2005-612 mitochondrion, complete genome",23.978834017894034,169,23.978834017894034,-0.0719365020536821,PV256478.1,3228958,NA,Chordata,Mammalia,Carnivora,Mustelidae,Aonyx,Aonyx congicus
3,"PV254232.1 Morone americana mitochondrion, complete genome",6.779201114683874,172,6.779201114683874,-0.020337603344051623,PV254232.1,46260,NA,Chordata,Actinopteri,NA,Moronidae,Morone,Morone americana
4,"PV387265.1 Bos javanicus isolate BBIB-01 mitochondrion, complete genome",20.779475102705483,168,20.779475102705483,-0.06233842530811645,PV387265.1,9906,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos javanicus
5,"PV231060.1 Mus caroli strain CAROLI/EiJ mitochondrion, complete genome",30.178912179733803,170,30.178912179733803,-0.09053673653920141,PV231060.1,10089,NA,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus caroli
6,"PV231059.1 Mus musculus strain CAST/EiJ mitochondrion, complete genome",30.178912179733803,170,30.178912179733803,-0.09053673653920141,PV231059.1,10090,NA,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
7,"PV230503.1 Testudo horsfieldii mitochondrion, complete genome",50.203704870439644,182,50.203704870439644,-0.15061111461131893,PV230503.1,101699,NA,Chordata,NA,Testudines,Testudinidae,Testudo,Testudo horsfieldii
8,"PQ390636.1 Mesalina guttulata isolate MEBE3 mitochondrion, complete genome",50.849637086957856,179,50.849637086957856,-0.15254891126087358,PQ390636.1,80466,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Mesalina,Mesalina guttulata
9,"PQ390711.1 Eremias intermedia voucher ZMMU R-14551 mitochondrion, complete genome",206.837454566389,146,206.837454566389,-0.620512363699167,PQ390711.1,1561959,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias intermedia
10,"PQ390710.1 Eremias lineolata voucher ZMMU R-15944 mitochondrion, complete genome",44.24059643401223,172,44.24059643401223,-0.1327217893020367,PQ390710.1,2202318,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias lineolata
11,"PQ390707.1 Eremias multiocellata voucher ZMMU 13201-2 mitochondrion, complete genome",50.849637086957856,173,50.849637086957856,-0.15254891126087358,PQ390707.1,383862,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias multiocellata
12,"PQ390705.1 Eremias persica voucher ZMMU 12728 mitochondrion, complete genome",50.849637086957856,174,50.849637086957856,-0.15254891126087358,PQ390705.1,627219,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias persica
13,"PQ390704.1 Eremias velox voucher ZMMU R-15589 (RAN-3543) mitochondrion, complete genome",50.849637086957856,174,50.849637086957856,-0.15254891126087358,PQ390704.1,122285,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias velox
14,"PQ390703.1 Eremias regeli voucher ZMMU R-15589 (RAN-3541) mitochondrion, complete genome",50.849637086957856,174,50.849637086957856,-0.15254891126087358,PQ390703.1,3146480,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias regeli
